단계,수익포기,lambda*
A-G → A-F,-0.0003005803650947079,-44.26741264522782
A-F → A-E,-0.0002747200180837576,-58.72238751718941
A-E → A-D,-0.0008786636460634649,-23.767537190685577
A-D → A-C,-0.0007150195500186269,-5.581743001348213
A-C → A-B,0.002413710958327372,13.800079271934159
A-B → A,0.0064647372999979014,78.59606246926747
