seed,집행률,Sharpe,평균초과수익
0,0.533375387509506,0.841712958421665,0.010534221427568713
1,0.5334010903219912,0.8386419397183297,0.010581388601235588
2,0.5333472559581689,0.8439956545580254,0.010676663763593972
3,0.5332631829914228,0.8317571439624846,0.010478439956726465
4,0.5331223161380151,0.846536328927672,0.010607312365296299
5,0.5327382295856116,0.8656878161539502,0.010646126712975922
6,0.5330758484125646,0.8393740646976151,0.010537856058868447
7,0.5332393379228938,0.829035718476752,0.01053341753367587
8,0.5330782771514165,0.8477282235653169,0.010603760147931855
9,0.53296501910754,0.8631827413710246,0.010667154549899941
10,0.5330679509902053,0.8392132948627593,0.010673168624659835
11,0.5334864339534346,0.8418831271588411,0.010582439065236553
12,0.5333881182830241,0.8789407840163158,0.010809790641203031
13,0.5331754990851254,0.8591505024208695,0.01072445959776741
14,0.5329483557072053,0.8106380002515379,0.010425264395857666
15,0.5330797408284729,0.8544770174044701,0.010699387308385933
16,0.533380582758838,0.8607423918627408,0.010722012123197693
17,0.5335574705437606,0.8385044663684339,0.010537385072645462
18,0.5333484059901418,0.8554913008673054,0.010694127988134152
19,0.5333156501843682,0.8720277434286605,0.010738276798096986
