issue_month,fico_avg,dti,int_rate,revol_util,inq_last_6mths
2007-12-01,694.7801191996595,13.400902724563645,12.238075564069817,48.315498084291185,2.789570029799915
2008-01-01,701.4649161518093,12.8109009543248,11.9133111760812,48.303193954104145,2.203855913503972
2008-02-01,701.1448703935041,13.409236935248803,12.484191000416406,50.71101785342494,1.9007521340828648
2008-03-01,698.3630922746099,12.049552344734806,12.372225776723198,47.128796754340435,2.0382826816944375
2008-04-01,695.3466708276677,15.108758387017676,12.809606785403803,57.700599629968124,1.6205389982390048
2008-11-01,709.7112750486176,11.830866872410587,12.623056142724275,49.79915659085144,1.8180434598799358
2008-12-01,710.8886105004526,13.23138368033105,12.56844335962757,47.31712142764774,1.57897969740075
2009-01-01,711.1536006271699,12.773463620412887,12.712329861499981,48.20324224437227,1.3950237055288013
2009-02-01,714.4252074748999,12.753934913818119,13.407596483082816,44.60953949277465,1.6991613951598863
2009-03-01,714.9193783208691,12.654997946816321,13.224892674489503,45.46420865323594,1.6900314821497455
2009-04-01,719.7613076701466,10.76490664398502,13.131892637153088,42.70001509061227,1.428916356851824
2009-05-01,718.270212921636,13.063607351040218,12.569922440916075,48.13024804273066,1.2825053047486648
2009-06-01,720.1411480667364,12.298014005501303,12.244591306019002,44.70470613671579,1.42946200136932
2009-07-01,716.3239975821076,11.954795380552934,12.749917282628292,46.563740097776176,1.4336829379513665
2009-08-01,721.5584142284978,13.092803999340555,12.438029713820224,48.55324146358021,1.1874860595246177
2009-09-01,719.4809664420496,12.966408483288326,12.80768190192565,47.913917001068405,1.5272274520690845
2009-10-01,718.6878648589667,13.354054094604178,13.153003300780185,50.33375320530307,1.235262425664248
2009-11-01,715.7888884939816,12.393615830253056,13.220879774428964,49.699203866932045,1.3484266894133257
2009-12-01,727.3737158076036,12.177987828029648,12.772041721464378,43.19887029588013,1.1395209350186266
2010-01-01,719.93550632365,12.7834596624509,12.772759528639876,47.788753399231666,1.2485701644580653
2010-02-01,716.3382742764403,13.646286286177983,12.377628780091966,52.41636029212875,1.179415742493914
2010-03-01,713.2675119393946,13.993492657644687,12.532367723423057,50.965417953275015,1.2207174558416156
2010-04-01,716.8486523902604,13.429245373373442,12.206707618098152,48.68392532966483,1.0993979181813036
2010-05-01,716.563785488959,13.7985974511041,12.056964138801261,50.82289110410095,1.1094712933753943
2010-06-01,721.7720041508366,12.89550320317659,11.137080178040016,45.400550586177026,1.014476471445846
2010-07-01,720.6577539112155,12.74901858408726,11.459020196320388,47.23789901219716,0.8998493182114133
2010-08-01,715.2336817183336,13.416578019459761,12.02256901757962,49.472869016946575,1.0720720150411163
2010-09-01,721.119390461755,12.966987427597033,11.728711024197477,49.38267525577871,1.1854260271747956
2010-10-01,716.1652199920677,13.454493988985767,11.257291044921685,51.04071104869279,1.158360478800528
2010-11-01,718.1200656371167,12.969172588563792,10.408796763137348,49.428889726997234,1.1130189103709291
2010-12-01,726.8842661285536,12.852446732743783,9.429736977466517,45.80820127801848,0.8961412151067324
2011-01-01,720.820952923581,13.453597856278042,10.408555658428886,50.56337422548251,0.9177809628943807
2011-02-01,722.3444661564635,13.68258902659342,10.620917944369243,48.914810885973274,0.6949894395314418
2011-03-01,723.8893233221457,13.441652018961282,10.343119903578884,48.15900660876786,0.7047391670415095
2011-04-01,720.9900945268064,13.279225470344631,10.603087027747534,45.63617832904283,0.7587378788957967
2011-05-01,722.0753775165674,13.141830798106001,10.864066662305707,47.85565054621024,0.7274987042916878
2011-06-01,719.9636723214529,13.178318933067041,11.282905668178858,47.40181111791575,0.7933070942928137
2011-07-01,720.2374701028232,13.342447261764683,11.048615578063355,46.432350091133515,0.6643517984449623
2011-08-01,724.8930473884469,13.319496022137669,10.693508301625736,45.25722241438948,0.7353995157384988
2011-09-01,724.6341370202458,13.115153900444735,10.30522216708839,45.943827493427605,0.7952462992698706
2011-10-01,723.6403721385005,13.475855909716067,10.604051998079818,46.59654231617636,0.7791024028790963
2011-11-01,720.2535652321104,13.475668712002596,10.948739283145022,49.977381292934425,0.8486705316462838
2011-12-01,711.7768034464848,14.30695818831784,11.635977934497902,61.82905791083248,0.7518186540154825
2012-01-01,713.3952522447685,14.291616954106354,11.796683851181262,56.84944815544267,0.7973464610771646
2012-02-01,713.068448928826,14.46653898290873,11.980031707434478,57.120498809806634,0.7231406819427558
2012-03-01,717.0206175063006,14.671175018055301,11.692874194254069,55.94859273532576,0.7329883097540584
2012-04-01,711.8802522798943,14.483084050225035,12.281613054439779,58.48580513192732,0.7786089964066061
2012-05-01,712.3394973360387,14.692040730671243,12.386463614806972,55.415551893110056,0.7553847305429241
2012-06-01,705.2449734889314,16.132295902155153,13.191514489186849,58.1133018897314,0.7971264618471143
2012-07-01,702.9946791070273,17.342951608821814,13.470757055549374,57.948335547090004,0.7522151515479722
2012-08-01,705.667859100855,17.200379959019507,13.237732625743318,56.346724067386546,0.8356090389961559
2012-09-01,703.849532672731,17.262652738860705,13.23423264133283,58.942652299881104,0.7823226634008569
2012-10-01,703.0382752862936,17.499351127365358,13.45118050668042,59.234297594251046,0.761165376363082
2012-11-01,702.0338659316199,17.595839373437432,13.761510010033335,58.609660991161896,0.8310822294837493
2012-12-01,697.337586357572,16.978427251502207,12.851549911573983,59.66015451282953,0.8952571852602621
2013-01-01,696.0362112459203,17.09088584733914,12.846687871575819,61.44660742814506,0.8373901467384914
2013-02-01,696.898084006987,17.5176239997669,12.779567120005254,63.3463724929046,0.7834434538345787
2013-03-01,701.2746878358897,17.325089001640556,12.609040274583473,59.661957675208875,0.8322658013268803
2013-04-01,701.2349084600241,16.802880901798904,12.990078223237296,58.33854907121935,0.7930126990178791
2013-05-01,698.3574631855175,16.759326477974735,13.475531981053877,58.48499818096772,0.7555348351287284
2013-06-01,698.5772275245164,16.60515796758366,13.335865718442394,57.837269098656684,0.7350043027691653
2013-07-01,699.4345695707924,16.448696562134806,12.915362520431916,57.300536807753424,0.7153740816291743
2013-08-01,701.0103965073922,16.389631078472927,13.038500808842494,57.098611546494084,0.7469537478746533
2013-09-01,698.6906994170749,16.474167019644668,13.155787119866867,58.2245246883164,0.7550911575757012
2013-10-01,700.2357632041625,16.950652871578058,13.08443634719025,56.63195885726466,0.7222079702350189
2013-11-01,698.9911739216078,16.96294726308975,12.580196225527144,57.81377515322413,0.7990279340464035
2013-12-01,700.2528608902838,16.93465100002291,12.644878075671837,57.16255372402575,0.813976265206534
2014-01-01,697.1892455099877,17.20647292196518,12.676379623611117,56.993405205884024,0.8200505167276677
2014-02-01,697.8752321844672,17.182546941704633,12.667396178120336,56.96197288819694,0.7744936686350479
