전략,집행률,승인률변동성,평균초과수익,변동성,Sharpe,CI하한,CI상한,Sortino,손실빈티지비율,최악빈티지,빈티지수,유효표본수,자기상관,PSR,Δ평균초과수익,대응HAC_p
① 전량 투자,1.0,0.0,0.01045241878977442,0.030667835625425886,0.3408267514355854,-0.27167550001546986,3.1564224077486505,0.5215942965544184,0.3076923076923077,-0.05697080986765582,26.0,0.3514803325895825,0.9733236745599527,0.6117580050859707,,
② 등급 A-B × ER̂>0,0.5691363957140673,0.04503702659145664,0.01131829546165445,0.013422648535081306,0.8432237074578136,0.2158899745236239,4.919365620948392,1.8719130598549438,0.19230769230769232,-0.01955167917466459,26.0,0.579010835179094,0.9564309718845718,0.7046032958603244,0.000865876671880027,0.8750602267778904
③ ② + 풀구성 타이밍 (기각),0.5332183156601165,0.03329575476646225,0.011000787601323567,0.012250591984084238,0.8979800825638145,0.24971704749872245,4.934956415631014,2.152804519584878,0.19230769230769232,-0.016157326102779188,26.0,0.6759865334181493,0.9493187228467587,0.7157176418702398,0.0005483688115491473,0.9252330278944261
④ 동일 평균승인률·시간불변 (타이밍 대조군),0.5451276527045628,0.041972554315817645,0.011226902601191786,0.012607118595563483,0.890520900243026,0.25991254395278296,4.995241869491482,2.074021631231693,0.19230769230769232,-0.017268948698733178,26.0,0.6414576206865718,0.9518451557854333,0.7117105251252449,0.000774483811417366,0.8931107759435417
⑤ 동일 승인률 무작위 (평균 of 20),0.5689938995146616,0.003504747598364405,0.005911769178344953,0.01767956035267219,0.33469557790573545,-0.2779720600216403,3.0560330300303304,0.5111870621434912,0.30769230769230765,-0.033872548266706215,26.0,0.4507485466859924,0.9659365508276299,0.6100966862230928,-0.004540649611429469,0.27670354839281003
⑥ 무작위분할 모델 (도달불가 상한),0.5300062683176269,0.05189698697621764,0.013239900178225853,0.010030654418490593,1.3199438068386953,0.6531932510784514,5.744643550894857,5.491652950742379,0.11538461538461539,-0.008407767730882114,26.0,0.629975934964518,0.95268670640161,0.7703966714499553,0.0027874813884514313,0.6705275799749812
