모델,예측상관,게이트통과율,Sharpe_등급×게이트,집행률_게이트,Sharpe_순위컷,집행률_순위컷
XGBoost (본편),0.023520501442816946,0.9992820587844848,0.8098126731776061,0.5671295522783467,0.8755613207649133,0.543036600398953
LightGBM,0.018576875952887494,0.999425647027588,0.8082165520899628,0.5674315169863113,0.8593086707822657,0.5457154014219535
CatBoost,0.0047779458062894384,1.0,0.8080780107842065,0.5674513411640909,0.8254356215463059,0.5475558961089935
Ridge 선형,0.007421772063754675,0.9993497890878353,0.8105197999857829,0.5669437864306142,0.8221570510944822,0.5413087109035541
