issue_month,fico_avg,dti,int_rate,revol_util,inq_last_6mths
2015-12-01,699.4917323640706,18.489428158807304,10.79156531367531,52.40726603955521,0.580158002139992
2016-01-01,701.2542565760241,18.274326356907007,10.79877776457064,52.19890291903431,0.5862481661801743
2016-02-01,699.3357808723471,19.1410111934924,11.246485095672796,53.487656320664726,0.5618231872941656
2016-03-01,700.8811550116401,19.15897292658844,11.156681476445227,51.46104020633036,0.5506099896579462
2016-04-01,701.5877694001798,18.535105642504753,11.194034937978696,51.068238884823145,0.5096174125208894
2016-05-01,698.5545684206593,19.333481291615215,11.828425610415769,50.947449127570756,0.5470625576073765
2016-06-01,701.6012948092771,17.83958281927208,11.208754356986532,49.5046398341669,0.50873174870941
2016-07-01,696.9849456317426,17.768999996334312,12.763846670802105,51.0664492031406,0.568770744228273
2016-08-01,696.231153175701,17.763614064114204,12.687475188875258,51.93947210674102,0.5734680883800969
2016-09-01,698.6750769438099,17.731033799282713,12.853776996766605,50.22493150268912,0.584311482208731
2016-10-01,699.70110954849,18.583324346420124,12.509123271471216,50.41762065516276,0.542136281742526
2016-11-01,698.3648460067808,18.422226983740455,12.48808373108236,51.86870901850883,0.553289189119037
2016-12-01,697.6261292617227,18.8035157148931,12.807969820819595,50.97026594606005,0.5674663730127818
2017-01-01,699.6186185638833,18.93102290917339,12.42432121852824,51.64054806227925,0.5122043193674864
2017-02-01,700.9941368272702,18.37049531853823,12.286800289781642,50.610844724862666,0.4778797406184141
2017-03-01,701.2350183773807,18.349527683941297,12.089126887223896,50.63384332848596,0.4813069848377205
2017-04-01,701.2882923733504,19.107230081829684,12.210534141465462,50.52173142417644,0.5075053738233744
2017-05-01,700.7204172821456,19.074383599627282,12.265616042795509,49.90347899620759,0.5095410381532789
2017-06-01,702.5484380774741,18.430199249226472,12.443222576250754,48.046173233813924,0.5286607845552833
2017-07-01,702.5170443123105,18.910858904637653,12.65258641843538,48.62646166273235,0.5241056088305455
2017-08-01,702.073732677985,18.763611546842316,12.771025083721973,47.718692348922566,0.5222108550893698
2017-09-01,704.4320988528436,20.061044332826853,12.754486776053165,46.97468544183432,0.5575108930996444
2017-10-01,708.340524985247,19.31859245962072,12.221382516519624,44.77560358732634,0.5653824465798734
2017-11-01,710.0765730314546,18.98916727085981,11.773697976165668,43.68264557221555,0.5339981000521405
2017-12-01,709.7339518825842,19.258879128105587,11.588121800995516,43.11418806486613,0.5419990050725579
2018-01-01,711.3404806010204,19.25305410617266,11.314237913390624,42.74397613937238,0.49416777276259555
