issue_month,예측,다이얼,실제_초과수익
2015-12-01,0.0643466288897081,0.685374006906924,0.02322757680348031
2016-01-01,0.06765630523329108,0.7266426318436414,0.030552881986713208
2016-02-01,0.0754771202062992,0.8163618062183827,0.03386331619782401
2016-03-01,0.07971758791176724,0.8662034775521911,0.024224387014521877
2016-04-01,0.08107875547779397,0.8838781765895418,0.02795594400669217
2016-05-01,0.08643560039790799,0.9448881292487652,0.02158952566997519
2016-06-01,0.08000211178977742,0.8756814920814378,0.0295762578222706
2016-07-01,0.0861476786300895,0.9456209826825979,0.029575217784089426
2016-08-01,0.08414160311394966,0.9247182564848597,0.03137395817609589
2016-09-01,0.08908696417695397,0.9806728239299555,0.03510330088991819
2016-10-01,0.09294363870217241,1.0,0.03840072202744
2016-11-01,0.08946537249948809,0.9847603959994353,0.03413954093264367
2016-12-01,0.09409645995511486,1.0,0.02688756720734114
2017-01-01,0.09514414872541527,1.0,0.03250090020389726
2017-02-01,0.09512181932546351,1.0,0.033547796347867996
2017-03-01,0.09297991790921986,1.0,0.031031933838725937
2017-04-01,0.09548123111103952,1.0,0.027109819646898792
2017-05-01,0.09498413432594913,1.0,0.015797127538576327
2017-06-01,0.09490457371559513,1.0,-0.008803839418150503
2017-07-01,0.09827582592162448,1.0,-0.011971645616762552
2017-08-01,0.09711415173613079,1.0,-0.017669902849682166
2017-09-01,0.0947428654008356,1.0,-0.03055842179185622
2017-10-01,0.08696720445184972,0.9496511554988591,-0.03442804839561432
2017-11-01,0.08258106385563528,0.9025133911613186,-0.04015915146948314
2017-12-01,0.07772583458964324,0.8508111920500969,-0.05413306615163231
2018-01-01,0.0762142218609667,0.836276917325594,-0.05697080986765582
