전략,집행률,승인률변동성,평균초과수익,변동성,Sharpe,CI하한,CI상한,Sortino,손실빈티지비율,최악빈티지,빈티지수,유효표본수,자기상관,PSR,Δ평균초과수익,대응HAC_p
전량 투자,1.0,0.0,0.011152674957629312,0.029775523171258176,0.37455848864461955,-0.24937323913737128,3.3501367094486065,0.5872478925091489,0.3076923076923077,-0.053337604832050564,26,0.36200942258194874,0.9725355213421745,0.6207501588905051,,
등급 A-G × ER̂>0,0.9993940592023968,0.0003717553866923254,0.011166000182167941,0.029744954053454575,0.37539140797130005,-0.24866885204057085,3.356697551125701,0.5890426476942064,0.3076923076923077,-0.05311900015023223,26,0.35969691014902355,0.9727085701041932,0.6209941238216068,1.3325224538626303e-05,0.35622229821619666
등급 A-F × ER̂>0,0.9969484336341077,0.002781565603458238,0.011466580547262649,0.02951579377744748,0.38848965519009926,-0.23474352400655274,3.4305944476269277,0.6130985982833388,0.3076923076923077,-0.053227342252169844,26,0.34876401366179116,0.9735271063583129,0.6238389033269661,0.00031390558963333615,0.03299888170748244
등급 A-E × ER̂>0,0.9905403486221118,0.004600453771038334,0.011741300565346406,0.029356864851342826,0.3999507653423469,-0.22427764634647482,3.5039677005328196,0.6357623412586065,0.3076923076923077,-0.053003451927372006,26,0.3492896468614755,0.9734877371236397,0.6264725013454993,0.0005886256077170904,0.009657538091724538
등급 A-D × ER̂>0,0.9582371137507566,0.01212043094532776,0.012619964211409871,0.028069331704200774,0.44959973911745127,-0.17091579969081766,3.777243372022429,0.7346705871867174,0.3076923076923077,-0.05127605660339103,26,0.3365907264290114,0.9744393091782195,0.6369501523086463,0.0014672892537805535,0.039033532779211955
등급 A-C × ER̂>0,0.839080819815141,0.021254525163958655,0.013334983761428498,0.023058360775315014,0.5783144730610765,-0.037781072371662186,4.465321225533192,1.0280846665223797,0.2692307692307692,-0.039885042500012215,26,0.3109704365250416,0.976361918137892,0.6618369948189042,0.0021823088037991856,0.33851674463709536
등급 A-B × ER̂>0,0.5671295522783467,0.04638708040170821,0.010921272803101126,0.013486171759016051,0.8098126731776061,0.19347201733942315,5.505050736463639,1.6643392696414017,0.19230769230769232,-0.02170990359307773,26,0.43586497303252225,0.9670247239137322,0.6945148649839686,-0.0002314021545281888,0.9652186882978389
등급 A × ER̂>0,0.23817219879406565,0.05461738010454367,0.004456535503103225,0.004167907792663788,1.0692500229845463,0.48333905726673904,4.369887873624485,2.8535112682588566,0.15384615384615385,-0.005501335894747713,26,0.7039831967036597,0.9472750419652332,0.732499133189153,-0.006696139454526091,0.42122632589632936
