issue_month,전량 투자,최종 규칙,타이밍 포함 (기각)
2015-12-01,0.02322757680348031,0.01790190480197212,0.013079636831451207
2016-01-01,0.030552881986713208,0.023397923232493865,0.018963607412315824
2016-02-01,0.03386331619782401,0.022478282787696133,0.020438339753321957
2016-03-01,0.024224387014521877,0.017011781039306888,0.015453235633743175
2016-04-01,0.02795594400669217,0.018683360202733926,0.01736251499193322
2016-05-01,0.02158952566997519,0.01727575763673318,0.016845413929323344
2016-06-01,0.0295762578222706,0.021023719838450906,0.019617657701656483
2016-07-01,0.029575217784089426,0.019637576392736732,0.019054652412693104
2016-08-01,0.03137395817609589,0.02106248723626437,0.02034020782200238
2016-09-01,0.03510330088991819,0.02087368415478164,0.02064881692807769
2016-10-01,0.03840072202744,0.020564300632631136,0.020564300632631136
2016-11-01,0.03413954093264367,0.021192254118451256,0.020996290125582073
2016-12-01,0.02688756720734114,0.01634763239012298,0.01634763239012298
2017-01-01,0.03250090020389726,0.01930476291723642,0.01930476291723642
2017-02-01,0.033547796347867996,0.020424531220975692,0.020424531220975692
2017-03-01,0.031031933838725937,0.018740179423710236,0.018740179423710236
2017-04-01,0.027109819646898792,0.019427549724173064,0.019427549724173064
2017-05-01,0.015797127538576327,0.01349031961662556,0.01349031961662556
2017-06-01,-0.008803839418150503,0.002718785566850517,0.002718785566850517
2017-07-01,-0.011971645616762552,0.0043468651398033955,0.0043468651398033955
2017-08-01,-0.017669902849682166,0.0011283345436771492,0.0011283345436771492
2017-09-01,-0.03055842179185622,-0.007018318166534571,-0.007018318166534571
2017-10-01,-0.03442804839561432,-0.005792377924096151,-0.004557691159043859
2017-11-01,-0.04015915146948314,-0.011765213639762594,-0.009477536219309137
2017-12-01,-0.05413306615163231,-0.01955167917466459,-0.016157326102779188
2018-01-01,-0.05697080986765582,-0.0186287217093536,-0.016062285435827082
