선별비율_K,달러인수율,대출건수,평균초과수익률_ER,Sharpe,Sortino
0.1,0.116084001742617,58408,0.027826631039152,0.4030248274252022,0.4884291327762034
0.2,0.22269884885797,116878,0.0283025531857804,0.6139528814674764,0.855636992660902
0.3,0.3235330751845535,175340,0.0281471414837107,0.8155773395316841,1.4252514929035458
0.4,0.4207893820006058,233813,0.0257606059303866,0.7428059337087218,1.235373735902137
0.5,0.5156281521509402,292298,0.0238815457557032,0.6297410237964424,0.9250743755656546
0.6,0.6093304579831871,350742,0.0229305174404835,0.6351652165044019,0.9705686417195488
0.7,0.7034555575903095,409202,0.0229740086015997,0.7084578458902281,1.1829216321555076
0.8,0.8001165633027673,467677,0.0223403077690922,0.7399866153510143,1.3267393610028773
0.9,0.899379536840453,526134,0.0220970649332796,0.7842150813202119,1.4706743410126528
1.0,1.0,584659,0.0212435583923,0.7906881988744991,1.525806510377104
