k_frac,dollar_accept_rate,n_loans,mean_excess_return,sharpe,sortino
0.1,0.11608400174261703,58408,0.027826631039152047,0.4030248274252022,0.4884291327762034
0.2,0.22269884885797,116878,0.028302553185780486,0.6139528814674764,0.855636992660902
0.3,0.3235330751845535,175340,0.028147141483710718,0.8155773395316841,1.4252514929035458
0.4,0.42078938200060584,233813,0.025760605930386607,0.7428059337087218,1.235373735902137
0.5,0.5156281521509402,292298,0.023881545755703244,0.6297410237964424,0.9250743755656546
0.6,0.6093304579831871,350742,0.022930517440483557,0.6351652165044019,0.9705686417195487
0.7,0.7034555575903095,409202,0.02297400860159971,0.7084578458902281,1.1829216321555076
0.8,0.8001165633027673,467677,0.022340307769092235,0.7399866153510143,1.3267393610028773
0.9,0.899379536840453,526134,0.022097064933279648,0.7842150813202119,1.4706743410126528
1.0,1.0,584659,0.02124355839230007,0.7906881988744991,1.525806510377104
