발행월,XGBoost ER_hat>0
2007-06-01,0.011142233296336845
2007-07-01,-0.038907249993222634
2007-08-01,0.017388003493174972
2007-09-01,-0.010969068599968754
2007-10-01,0.0239329994770838
2007-11-01,0.01436548123559811
2007-12-01,0.019098562190324846
2008-01-01,0.017717073810239167
2008-02-01,0.005417975246921353
2008-03-01,0.002079597561944764
2008-04-01,0.017642267111850383
2008-05-01,0.004853494113876242
2008-06-01,-0.01038067283217434
2008-07-01,-0.0007033485891550159
2008-08-01,0.018775266471867492
2008-09-01,-0.029074606163761653
2008-10-01,-0.011874206959749861
2008-11-01,-0.006607350472223087
2008-12-01,0.006650860826303324
2009-01-01,0.008618138369427614
2009-02-01,0.03212486175413193
2009-03-01,0.045975761126915766
2009-04-01,0.04040096722510988
2009-05-01,0.0333636408645512
2009-06-01,0.0001000486667371639
2009-07-01,0.03244885889876811
2009-08-01,0.011563115908257583
2009-09-01,0.02526912947690476
2009-10-01,0.005670563354925988
2009-11-01,0.029102949416279146
2009-12-01,0.040841038760424594
2010-01-01,0.025415378184372783
2010-02-01,0.04013175559775406
2010-03-01,0.03317491112908564
2010-04-01,0.026473225936322824
2010-05-01,0.018718276381765056
2010-06-01,0.03728275259553482
2010-07-01,0.04286332103954372
2010-08-01,0.04304228240679525
2010-09-01,0.039564674447093134
2010-10-01,0.040858318853650634
2010-11-01,0.024004662876880065
2010-12-01,0.034352113316107664
2011-01-01,0.03355353729182447
2011-02-01,0.036562139805065216
2011-03-01,0.040521447437112036
2011-04-01,0.031178580942023595
2011-05-01,0.02990249416013783
2011-06-01,0.03994457179647118
2011-07-01,0.0422780163733271
2011-08-01,0.04235716951805141
2011-09-01,0.03521039764389111
2011-10-01,0.04278873137585714
2011-11-01,0.03790839069119677
2011-12-01,0.039755990257261356
2012-01-01,0.04077740070127682
2012-02-01,0.03515617350411534
2012-03-01,0.04290523236234902
2012-04-01,0.04444053671937566
2012-05-01,0.04015512688411948
2012-06-01,0.04141552903547811
2012-07-01,0.04790249315091977
2012-08-01,0.049315746917734625
2012-09-01,0.04983214009931879
2012-10-01,0.05039107857870826
2012-11-01,0.05748135912764941
2012-12-01,0.05309095061696592
2013-01-01,0.050934583721633384
2013-02-01,0.05238494373540869
2013-03-01,0.053574059322551174
2013-04-01,0.05286607971927549
2013-05-01,0.05523123303441436
2013-06-01,0.05257233052650839
2013-07-01,0.04799237418156674
2013-08-01,0.05165738908941255
2013-09-01,0.04969772193623129
2013-10-01,0.05371554053379734
2013-11-01,0.04985762556036884
2013-12-01,0.04716274454685188
2014-01-01,0.04796242552041576
2014-02-01,0.04844543128558684
2014-03-01,0.046139994962111866
2014-04-01,0.043728737522084886
2014-05-01,0.04289596812430456
2014-06-01,0.042276744234243775
2014-07-01,0.03753916956272605
2014-08-01,0.037294756742916095
2014-09-01,0.035218513773027045
2014-10-01,0.034725288483516616
2014-11-01,0.03419671149908868
2014-12-01,0.033285548700978045
2015-01-01,0.03135016547423473
2015-02-01,0.031075761664985754
2015-03-01,0.031055726206685418
2015-04-01,0.03141492681140079
2015-05-01,0.02664953745517968
2015-06-01,0.022607622011348846
2015-07-01,0.020648196375366083
2015-08-01,0.022637124751738853
2015-09-01,0.021928046695785477
2015-10-01,0.022088658700354907
2015-11-01,0.016688421236222224
2015-12-01,0.011657037692362579
2016-01-01,0.015365570708687938
2016-02-01,0.02524427823066333
2016-03-01,0.018721695724172573
2016-04-01,0.021637855667327413
2016-05-01,0.019431454427821356
2016-06-01,0.023175983316173453
2016-07-01,0.024366490714489687
2016-08-01,0.025981209987663283
2016-09-01,0.02834225604210227
2016-10-01,0.028356222203829114
2016-11-01,0.02607496200406452
2016-12-01,0.02085051274484722
2017-01-01,0.022298630600140562
2017-02-01,0.021881105860906434
2017-03-01,0.021014926890641886
2017-04-01,0.020209381348815947
2017-05-01,0.018422770560920242
2017-06-01,0.010815498977778384
2017-07-01,0.009561093146120865
2017-08-01,0.004669368277680391
2017-09-01,0.0011444811489357033
2017-10-01,-0.0030952180005858858
2017-11-01,-0.00207091235029723
2017-12-01,-0.010119203495504037
2018-01-01,-0.01677980390122761
