발행월,전체변수(88개),era안전변수(37개)
2007-06-01,0.1212733703890854,0.1414855987872663
2007-07-01,0.25692338791186575,0.24722053769961594
2007-08-01,0.3681854095338425,0.3365815117197788
2007-09-01,0.2164804469273743,0.10614525139664804
2007-10-01,0.1765492643780651,0.2628176549264378
2007-11-01,0.29470412292534165,0.37833558149082164
2007-12-01,0.28300586004825923,0.3001263931977479
2008-01-01,0.2499885263206205,0.2680710450227179
2008-02-01,0.29528409504623676,0.4082425183854761
2008-03-01,0.6121174876744089,0.6124107878601657
2008-04-01,0.8106236403190717,0.77356780275562
2008-05-01,0.8983644859813084,0.9033968368080517
2008-06-01,0.7787913340935005,0.7882934245534018
2008-07-01,0.8234780075735508,0.7792018642586659
2008-08-01,0.8313933777828003,0.8582890722115494
2008-09-01,0.7153679653679653,0.7373737373737373
2008-10-01,0.8177770538089808,0.8905359179019384
2008-11-01,0.813069402826962,0.8767517176669996
2008-12-01,0.8393342294163068,0.8019561300654903
2009-01-01,0.8981288981288982,0.886915557128323
2009-02-01,0.9184460110564487,0.9195871582898006
2009-03-01,0.8684691962270427,0.8053648221625603
2009-04-01,0.9022437501250976,0.8439983186885771
2009-05-01,0.8892176452505379,0.8966146633876422
2009-06-01,0.9289355223090163,0.9371110816893949
2009-07-01,0.9500065845789162,0.9160466188187265
2009-08-01,0.9436469809855306,0.9057043408221385
2009-09-01,0.938671389364547,0.903298069479956
2009-10-01,0.8875993368017838,0.8912964762830408
2009-11-01,0.9563625296036675,0.9123255880310827
2009-12-01,0.940036775379851,0.936030194522404
2010-01-01,0.9013096946467821,0.8890301720223066
2010-02-01,0.926509093794356,0.9320103324546632
2010-03-01,0.9468640634903138,0.9638389043511808
2010-04-01,0.9477906050955414,0.9299230360934183
2010-05-01,0.9599656146383396,0.923228539850178
2010-06-01,0.9741096001765123,0.9545539001079977
2010-07-01,0.9774733263705433,0.9744936618131924
2010-08-01,0.9674716301160835,0.9482962446033424
2010-09-01,0.9582535623285214,0.932969065153696
2010-10-01,0.961341849947818,0.9332022341618028
2010-11-01,0.9397277168510416,0.9271448544226076
2010-12-01,0.9522928905263057,0.9521103623184926
2011-01-01,0.9602437098232736,0.9506688107893563
2011-02-01,0.9529283578559724,0.9530930621484197
2011-03-01,0.952166937600272,0.9447153780497739
2011-04-01,0.9534304798879598,0.9314392133156613
2011-05-01,0.9739365852881691,0.9691271320051598
2011-06-01,0.9825510778121563,0.9658948525839364
2011-07-01,0.9692556385662875,0.9433546511449232
2011-08-01,0.9633475507930213,0.9616587216156646
2011-09-01,0.9764389760249771,0.9665320071302752
2011-10-01,0.97801133842273,0.9687944204898445
2011-11-01,0.969530910778721,0.9641044397815722
2011-12-01,0.9855397469910703,0.9632275624433804
2012-01-01,0.9696648426183101,0.938663383011502
2012-02-01,0.9682214553282248,0.9569314489081352
2012-03-01,0.974180472745269,0.9722181635362415
2012-04-01,0.9748765534144571,0.9749182413443639
2012-05-01,0.9682891250878184,0.9719627196148225
2012-06-01,0.9676951172625913,0.9611579680891965
2012-07-01,0.980625289063262,0.979645751333755
2012-08-01,0.9704702863542297,0.9754373597857326
2012-09-01,0.9811326295737757,0.9849019763473291
2012-10-01,0.9748566093103909,0.9807324444929487
2012-11-01,0.9699234318709868,0.9781186426591797
2012-12-01,0.9829809323592998,0.987243157666536
2013-01-01,0.9827612617319603,0.9825896758749098
2013-02-01,0.9853580885792569,0.9877826575447741
2013-03-01,0.9796157711427519,0.9827644570087148
2013-04-01,0.9846136448212245,0.984101686787757
2013-05-01,0.9770823443331925,0.9775213515149668
2013-06-01,0.9789233830877277,0.9759857734517982
2013-07-01,0.9772342265182407,0.9747953676890339
2013-08-01,0.9805925250270169,0.974062418107595
2013-09-01,0.9778545088972362,0.9735897959747852
2013-10-01,0.9790400979432405,0.9793665146829841
2013-11-01,0.9782874969148149,0.9798167695253697
2013-12-01,0.9745668668251869,0.977497194148458
2014-01-01,0.9758996554536606,0.975071483280406
2014-02-01,0.9789521853532575,0.968577545583805
2014-03-01,0.9678695301322199,0.9668713498838437
2014-04-01,0.967816772384972,0.9600651127808145
2014-05-01,0.9574209030147531,0.9550787715372718
2014-06-01,0.9527324933153827,0.9450348043265624
2014-07-01,0.9482531325983891,0.9421204840016927
2014-08-01,0.942801857776101,0.9381518101922889
2014-09-01,0.9325739432156602,0.9308260928087375
2014-10-01,0.9237828915349049,0.9309961135666459
2014-11-01,0.9234467023518625,0.9259404234342439
2014-12-01,0.9321053063080762,0.9408433198186422
2015-01-01,0.9210159250321599,0.9220991511657386
2015-02-01,0.9203953752042112,0.9165611059842818
2015-03-01,0.9075218539534561,0.9123512814995515
2015-04-01,0.8990332266822241,0.898600908162825
2015-05-01,0.891822203792772,0.8940909250487361
2015-06-01,0.8799665336514088,0.8689588730922471
2015-07-01,0.8824617853184369,0.8779404649392613
2015-08-01,0.8891685965306783,0.8877920141025706
2015-09-01,0.8827530365113856,0.8770123044463473
2015-10-01,0.8956231827109427,0.885667616361127
2015-11-01,0.884064596755127,0.869561437844558
2015-12-01,0.7922071913201403,0.8481776415431941
2016-01-01,0.7526688092582247,0.884703943974556
2016-02-01,0.8284573590110579,0.9161636690368583
2016-03-01,0.8118676131986738,0.9095036239748386
2016-04-01,0.8171457655321588,0.9193413699480469
2016-05-01,0.7992758819489176,0.895922598817781
2016-06-01,0.8360931162542847,0.9148251618755767
2016-07-01,0.8090388526234715,0.9034991432473349
2016-08-01,0.8221856664551805,0.9069275931299664
2016-09-01,0.8257454035386086,0.8990133255385118
2016-10-01,0.8432218384269995,0.9108779011852532
2016-11-01,0.8266053331690094,0.9059805113709428
2016-12-01,0.820744521120186,0.8918348635445996
2017-01-01,0.8512659586533164,0.9095563575386411
2017-02-01,0.8474108171401529,0.9157071461224169
2017-03-01,0.8484485005211014,0.9137934431856085
2017-04-01,0.8301523910303498,0.8975008861029635
2017-05-01,0.7630779158643833,0.7779650469325312
2017-06-01,0.7022649454737234,0.6850747362773076
2017-07-01,0.6979740708424955,0.6686325276109983
2017-08-01,0.6700092275313451,0.6471695279371549
2017-09-01,0.6591989872284868,0.6284864645183034
2017-10-01,0.6663296930664938,0.6528182076482031
2017-11-01,0.6535952460353944,0.6512384019458338
2017-12-01,0.6502011305755482,0.6367872947962151
2018-01-01,0.6707733402203561,0.6481858650682961
