k_frac,fold0,fold1,fold2,fold3,fold4,fold0_dollar,fold1_dollar,fold2_dollar,fold3_dollar,fold4_dollar
0.05,0.3067566001205907,1.1806863747804117,0.24335545338424763,0.4364686889112842,0.801920180538805,0.06037844115097072,0.06253042101512822,0.06007520499048283,0.059354126768249214,0.060819725848464075
0.1,0.6859401629900792,4.466794993552782,0.4761495641039146,1.5145525998555043,1.1966105434273087,0.11608712390589795,0.11990472801232259,0.11605337075432001,0.11475497073882428,0.11689847955603036
0.15,0.7836773547475094,2.137325584029779,2.2502174112415347,1.846809312507837,1.2502765110228284,0.1691811986843018,0.17339564270096952,0.16890603926068234,0.16764138984936436,0.16978488558793964
0.2,0.9003019185836991,2.471241051138614,3.269394875165696,3.691036507870749,1.2905027676421557,0.22027489712767995,0.22531395927051995,0.22039536841274648,0.21890849597375392,0.22061082910647356
0.25,1.1176425650086639,3.250667596481694,3.8017227824654887,4.237313644394973,1.571503064392952,0.270631142831209,0.2749149836086892,0.2704672962776185,0.26847995543086,0.27009247554814453
0.3,1.3230628405912201,3.7044380725860706,2.664276257822667,1.5562824111655018,1.4872928838778763,0.31936968948777417,0.32381967900742165,0.31968825498391346,0.31766352105111006,0.31914340727022183
0.35,1.368153820398296,3.9256846280385496,2.282563859924959,1.7528132665583196,1.4992724940466686,0.36796411440848353,0.3723524540410562,0.368005447025006,0.3659260217581706,0.3679757375232614
0.4,1.6467884600841585,6.247304225294095,2.503225165384059,1.8449859169405103,2.057643243452986,0.4159803432695994,0.4204924368344057,0.4159052139192855,0.41410819997305337,0.4158027440694516
0.45,1.6508828399407447,7.82015268995191,2.294236632143562,2.164718044260689,2.4734433890626213,0.4637627835712011,0.46815213001907424,0.4635262005210855,0.4624082594073686,0.46301360673134334
0.5,3.7529873386232655,4.298714892263942,1.9642284340629903,2.1278118038816416,2.3809556358889252,0.5121454325249997,0.51585057497595,0.5113572155220023,0.5100266959682459,0.5109282557208348
0.55,4.670739992684996,2.610584923930485,1.7212004362040005,2.2455102004321996,2.4619734867101015,0.5594183708819979,0.56305458268855,0.5583603808332674,0.5568827954973065,0.5577210711373115
0.6,4.4342602696943345,2.6696752644429407,1.6211164120088437,2.3613606156966247,2.666435236557566,0.6063654343238959,0.6104377081044196,0.6056023993506153,0.604627132127727,0.6050478875323557
0.65,3.7839586218465615,2.831461178218312,1.8257003197104984,1.9324633630200847,2.052381107583808,0.6535904144693199,0.6568009391068902,0.6526236367056202,0.6517099445450133,0.6521713961162121
0.7,0.7547488566407046,2.7302886222082994,1.5395946439938024,1.900599044623449,1.68162074462243,0.7007114268130098,0.7044656908938209,0.6995522008670448,0.699349922746934,0.6993886543077502
0.75,0.7042258045882924,3.0074761237960055,1.5620313485301647,1.9653453230482152,1.769997533350136,0.7482593578434594,0.7513265156261252,0.7468166912203513,0.7467333698943425,0.7468638861258747
0.8,0.6590248503052186,2.878220522691131,1.603263870313207,1.8564398700305367,1.7924215086109845,0.7952242640463404,0.7984506035920107,0.7940742426490137,0.7942229791961756,0.7944924252778397
0.85,0.6311923534676822,1.9626400516476812,1.425221723765686,1.682165495644642,1.7652592415159165,0.8421501694537203,0.845562980688025,0.8416361712921762,0.8421946677491496,0.841889190847373
0.9,0.60610917510307,1.530737587177415,1.4037598632245945,1.6220637798549216,0.9807132636103654,0.8913249834565792,0.8935932267701068,0.8905121163852775,0.8911231143746113,0.890354555702092
0.95,0.5791329746630076,1.2497331878758784,1.3653528896938554,1.4419213478709692,0.7919852507554543,0.9422685576657444,0.9430417424754423,0.9415124312479781,0.9419443188364067,0.9411284801864175
1.0,0.9975953605314716,0.9130453249064486,1.135998201361901,1.4812518911542467,0.8045082117414966,1.0,1.0,1.0,1.0,1.0
