k_frac,dollar_accept_rate,cv_mean_sortino,cv_std_sortino
0.05,0.060000646014407064,0.7638605601717462,1.3482831423663242
0.1,0.11666822387427041,0.5641899849657042,0.7408737099950873
0.15,0.17096768246922395,0.4476899203203127,0.2853959371484828
0.2,0.22369122278637113,0.421452028136574,0.1467878206332654
0.25,0.2751911595911106,0.6490813754375432,0.23841504917356146
0.3,0.32502872399646254,0.6775010406250593,0.18454671075795373
0.35,0.373694160315318,0.627945832689346,0.3506646917217655
0.4,0.42178515190924093,0.7115195775574077,0.39050655287502856
0.45,0.4692971134332322,0.6263994424640986,0.3303408434731609
0.5,0.5163898470941647,0.6959178153956217,0.3550839216879824
0.55,0.5631235397969342,0.6825553505364664,0.36258802467258194
0.6,0.6100441226634296,0.7301936358853215,0.3582129588784845
0.65,0.6567253007751142,0.7780239980693213,0.39504991217840263
0.7,0.703992077233278,0.9041511880298753,0.3193954252952729
0.75,0.7517145486493846,0.8846888002383363,0.29856078050427187
0.8,0.8002675309883724,0.9171138247157504,0.2800708737820608
0.85,0.8491638305116849,0.9108298278627348,0.2599528795608675
0.9,0.8990455894367788,0.9427195675823838,0.2826772860194239
0.95,0.9488699135060269,0.9120076970183678,0.28865051112935564
1.0,1.0,1.0664797979391127,0.2616223484964496
